H,e,a,q,i,om,w,ma,ad,n,per,moid,albedo
18.2,0.1888,2.565,2.08,4.08,129.2,237.43,288.24,3.05,0.24,1500,1.08,0.139100307
17.7,0.2347,3.057,2.34,10.72,132.75,148.61,122.41,3.77,0.1844,1950,1.33,0.142485623
17.38,0.1321,2.416,2.097,1.97,194.27,340.37,9.81,2.74,0.2624,1370,1.1,0.14179141
17.26,0.0437,2.701,2.583,3.14,82.59,180.76,321.98,2.82,0.222,1620,1.57,0.159050572
19.24,0.0956,1.825,1.65,20.66,229.99,250.46,179.85,2,0.3998,900,0.735,0.123670185
18.14,0.139,2.633,2.267,6.46,101.57,263.17,60.73,3,0.2306,1560,1.28,0.124669965
18.4,0.2295,2.356,1.815,4.53,58.99,220.42,264.21,2.9,0.2726,1320,0.803,0.146002716
15.39,0.0928,2.93,2.658,13.26,94.25,309.19,260.72,3.2,0.1965,1830,1.69,0.144473015
17.23,0.1755,2.775,2.288,13.98,1.97,57.42,150.83,3.26,0.2132,1690,1.33,0.149361641
17.9,0.157,2.394,2.018,2.43,83.11,11.98,30.99,2.77,0.2661,1350,1.03,0.122685737
19.1,0.2622,2.646,1.952,11.71,231.59,213.49,89.61,3.34,0.229,1570,0.978,0.126801997
17.01,0.1438,2.936,2.514,14.24,142.69,354.12,295.4,3.36,0.1959,1840,1.53,0.147500178
16.89,0.1476,3.104,2.646,3.83,163.76,356.56,250.03,3.56,0.1803,2000,1.65,0.148779253
18.5,0.2587,2.631,1.95,7.38,72.64,293.56,93.49,3.31,0.231,1560,0.964,0.130085054
16.87,0.1007,2.404,2.162,3.69,55.84,254.21,21.55,2.65,0.2645,1360,1.15,0.12938777
16.95,0.0915,1.962,1.782,18.05,285.92,150.77,198.74,2.14,0.3587,1000,0.81,0.138520767
17.79,0.0394,2.864,2.751,2.5,151.45,287.3,221.27,2.98,0.2034,1770,1.77,0.135312726
17.3,0.1174,2.945,2.599,12.02,86.29,27.55,34.9,3.29,0.195,1850,1.62,0.148375871
17.2,0.0939,3.117,2.824,15.12,233.63,130.04,315.62,3.41,0.1791,2010,1.85,0.135212825
18.6,0.1155,2.254,1.994,6.08,198.61,73.21,115.7,2.51,0.2912,1240,0.989,0.139330302
15.45,0.052,3.097,2.936,4.06,146.75,35.58,179.88,3.26,0.1808,1990,1.94,0.134879341
17.9,0.051,2.745,2.605,6.92,118.92,221.37,174.33,2.88,0.2168,1660,1.6,0.117836574
17.3,0.176,2.412,1.987,3.61,355.22,235.33,86.06,2.84,0.2631,1370,0.981,0.157212511
17.7,0.2237,2.454,1.905,3.45,86.88,287.47,228.68,3,0.2563,1400,0.91,0.141854373
17.9,0.1895,2.411,1.954,8.3,92.02,268.47,286.18,2.87,0.2632,1370,0.973,0.138418696
16.28,0.1599,2.858,2.401,1.28,249.33,151.82,326.98,3.32,0.204,1760,1.41,0.151600561
17.3,0.072,2.683,2.49,4.67,38.98,275.24,285.77,2.88,0.2243,1610,1.48,0.135074122
16.9,0.1196,2.77,2.439,14.48,270.07,240.72,49.89,3.1,0.2138,1680,1.49,0.141898337
17.2,0.0843,2.766,2.533,2.6,303.45,3.06,188.35,3,0.2142,1680,1.52,0.16498737
16.41,0.1034,2.687,2.409,7.95,114.96,271.13,156.93,2.97,0.2237,1610,1.43,0.132893505
17.95,0.1218,2.637,2.316,13.17,107.48,27.28,30.83,2.96,0.2302,1560,1.34,0.145456963
19,0.3023,3.202,2.234,4.69,296.02,86.26,4.25,4.17,0.172,2090,1.24,0.132132703
16.47,0.1248,3.145,2.752,6.16,146.69,171.16,297.77,3.54,0.1767,2040,1.74,0.144411109
18.9,0.2011,2.343,1.872,1.03,218.31,156.78,76.06,2.81,0.2747,1310,0.874,0.141340887
18.6,0.1134,2.289,2.029,8.26,90,159.06,220.01,2.55,0.2846,1260,1.02,0.141501383
17.3,0.2544,2.633,1.963,15.42,117.25,190.77,218.28,3.3,0.2307,1560,0.951,0.154563571
17.25,0.0888,2.639,2.405,13.69,14.36,342.99,218.81,2.87,0.2299,1570,1.41,0.123437279
16.07,0.0552,3.089,2.919,10.29,115.32,348.93,268.99,3.26,0.1815,1980,1.94,0.139038621
18.6,0.2079,2.433,1.927,2.53,69.29,298.75,341.48,2.94,0.2598,1390,0.928,0.143811288
15.67,0.2215,3.116,2.426,9.04,165.15,242.58,291.69,3.81,0.1792,2010,1.45,0.139382738
16.8,0.213,2.463,1.938,2.25,173.02,142.83,353.54,2.99,0.255,1410,0.926,0.140973954
16.92,0.2021,2.63,2.098,14.28,201.77,195.87,206.82,3.16,0.2311,1560,1.11,0.137580022
15.74,0.0922,3.148,2.858,9.49,219.95,162.28,359.87,3.44,0.1764,2040,1.86,0.140418533
17.2,0.1859,2.634,2.144,7.28,64.92,14.38,205.53,3.12,0.2305,1560,1.16,0.158543881
16.8,0.0432,3.029,2.899,13.78,49.9,149.72,179.42,3.16,0.1869,1930,1.9,0.153797671
17.65,0.2012,2.205,1.761,5.31,292.83,31,276.48,2.65,0.3011,1200,0.752,0.13589536
16.69,0.0634,2.904,2.72,2.09,27.65,29.37,348.43,3.09,0.1992,1810,1.73,0.147206551
17.57,0.2028,2.764,2.204,11.67,268.39,74.3,47.42,3.32,0.2145,1680,1.23,0.140917032
16.21,0.0561,2.89,2.728,3.24,56.89,290.61,246.93,3.05,0.2006,1790,1.72,0.143035372
17.2,0.1151,3.167,2.803,9.5,187.36,285.64,108.28,3.53,0.1749,2060,1.84,0.156557431
18,0.2491,2.341,1.758,6.08,162.97,182.54,161.47,2.92,0.2753,1310,0.751,0.143021364
16.4,0.2976,3.085,2.167,19.1,18.23,298.08,287.41,4,0.1819,1980,1.23,0.128228607
18,0.1344,2.484,2.15,5.98,135.28,167.5,161.69,2.82,0.2518,1430,1.14,0.14035051
16.82,0.1645,2.893,2.417,4.06,109.61,233.29,50.29,3.37,0.2003,1800,1.41,0.146518574
27.3,0.3908,1.326,0.808,2.26,176.49,246.34,36.61,1.84,0.6453,558,0.00415,0.139025869
15.88,0.0797,2.644,2.433,15.06,71.93,60.02,73.27,2.85,0.2293,1570,1.48,0.145958495
16.04,0.1102,2.995,2.665,2.07,353.92,293.76,286.09,3.32,0.1902,1890,1.65,0.14378416
17.9,0.0809,2.287,2.102,3.48,353.23,135.21,90.03,2.47,0.285,1260,1.12,0.145384726
18.04,0.1638,2.196,1.836,6.91,4.19,23.18,196.67,2.56,0.3029,1190,0.843,0.140387711
16.7,0.0793,3.08,2.836,11.98,45.85,96.91,47.87,3.32,0.1824,1970,1.88,0.147341311
16.67,0.1711,2.799,2.32,4.16,330.85,46.46,205.99,3.28,0.2105,1710,1.32,0.151310966
18.6,0.2848,2.575,1.842,6.33,17.54,336.3,108.28,3.31,0.2385,1510,0.84,0.13029289
18.61,0.2768,2.359,1.706,7.92,161.26,255.88,128.94,3.01,0.272,1320,0.738,0.139528834
16.15,0.204,2.65,2.109,14.05,104.92,144.85,341.11,3.19,0.2285,1580,1.11,0.135064787
17.66,0.0703,2.865,2.664,11.46,68.19,97.53,81.3,3.07,0.2032,1770,1.7,0.155026549
17.9,0.1137,2.716,2.407,4.74,357.69,120.47,168.8,3.03,0.2202,1640,1.43,0.131310621
16.05,0.0642,3.038,2.843,0.12,1.31,230.25,267.89,3.23,0.1862,1930,1.83,0.132836165
17.6,0.0945,2.892,2.618,9.49,321.93,57.1,349.28,3.17,0.2004,1800,1.63,0.14034624
17.3,0.1072,3.065,2.737,8.9,123.8,162.78,12.23,3.39,0.1836,1960,1.72,0.134842874
16.7,0.1794,3.054,2.506,16.86,16.79,239.17,221.28,3.6,0.1846,1950,1.54,0.133311319
17.62,0.2335,2.765,2.119,18.56,154.14,355.55,113,3.41,0.2144,1680,1.13,0.132851886
17.01,0.0856,3.22,2.945,11.03,254.47,286.38,1.08,3.5,0.1706,2110,1.97,0.128808235
24.4,0.0857,1.155,1.056,8.66,300.31,147.67,39.31,1.25,0.7941,453,0.0827,0.14854572
16.31,0.0347,3.083,2.976,10.05,223.65,85.29,124.2,3.19,0.182,1980,1.99,0.14653997
17.8,0.0873,2.481,2.264,7.61,84,159.06,135.09,2.7,0.2523,1430,1.25,0.143391555
17.7,0.1451,2.717,2.322,13.93,359.78,213.29,251.24,3.11,0.2201,1640,1.33,0.136453986
16.03,0.1213,2.939,2.582,3.24,91.61,239.44,345.66,3.29,0.1957,1840,1.57,0.128554398
22.7,0.3621,1.44,0.919,12.54,195.27,295.25,176.81,1.96,0.5702,631,0.0538,0.128476863
17.8,0.0872,2.757,2.516,11.17,153.46,186.07,138.04,3,0.2153,1670,1.51,0.147075009
17.6,0.0916,2.978,2.705,10.53,62.2,331.35,326.41,3.25,0.1918,1880,1.72,0.152569609
19,0.236,2.291,1.751,2.15,258.73,31.96,322.5,2.83,0.2841,1270,0.736,0.144945046
17.81,0.1677,2.607,2.17,13.22,194.99,12.73,122.69,3.04,0.2341,1540,1.17,0.1518606
16.83,0.0925,3.058,2.775,8.62,204.28,294.91,95.42,3.34,0.1843,1950,1.8,0.141811194
16.95,0.1565,2.744,2.315,2.45,297.11,165.09,320.03,3.17,0.2168,1660,1.33,0.148305593
16.69,0.1697,2.673,2.219,9.04,201.09,217.25,88.23,3.13,0.2256,1600,1.24,0.143172384
16.38,0.1069,2.727,2.436,24.67,342.63,136.46,134.9,3.02,0.2188,1650,1.48,0.120723132
19.19,0.1565,2.326,1.962,2.59,152.58,55.09,175.15,2.69,0.2778,1300,0.96,0.148187047
17.5,0.1502,2.687,2.284,15.56,14.72,354.74,185.01,3.09,0.2237,1610,1.28,0.136065081
14.36,0.1441,3.196,2.736,12.94,322.76,292.66,205.59,3.66,0.1725,2090,1.75,0.125623943
16.29,0.1174,2.583,2.28,1.61,181.6,119.78,249.49,2.89,0.2374,1520,1.27,0.125126748
15.69,0.1407,2.431,2.089,3.35,96.56,149.76,193.44,2.77,0.26,1380,1.08,0.143643647
18.5,0.0953,2.253,2.039,6.42,173.2,82,48.8,2.47,0.2914,1240,1.04,0.142998219
18.8,0.1714,2.385,1.976,3.42,69.45,5.09,240.09,2.79,0.2676,1350,0.991,0.124979328
17.13,0.0155,3.071,3.023,8.86,224.23,299.39,274.08,3.12,0.1831,1970,2.03,0.134665188
17.32,0.2263,2.41,1.864,3.28,130.45,186.42,341.72,2.96,0.2635,1370,0.852,0.140768666
17.42,0.1074,2.543,2.27,12.73,339.15,6.28,147.01,2.82,0.2431,1480,1.26,0.137364463
15.85,0.0883,3.503,3.194,3.73,288.74,72.93,328.44,3.81,0.1503,2390,2.19,0.138311732
17.81,0.1825,2.699,2.207,20.01,116.88,170.06,47.9,3.19,0.2222,1620,1.19,0.135907892
17.5,0.2075,3.147,2.494,18.69,163.83,202.13,84.23,3.8,0.1766,2040,1.5,0.147049638
17.03,0.0656,2.623,2.451,10.79,185.78,189.54,52.77,2.79,0.232,1550,1.45,0.129709857
15.23,0.0975,2.984,2.694,10.8,76.16,193.24,305.8,3.28,0.1912,1880,1.68,0.140599934
17.2,0.2379,3.13,2.385,18.21,156.47,222.14,267.04,3.87,0.178,2020,1.42,0.124520522
18.7,0.0668,2.225,2.076,5.91,90.47,242.3,221.57,2.37,0.297,1210,1.07,0.132708416
17.25,0.1252,2.349,2.055,8.57,137.33,230.82,23.82,2.64,0.2738,1310,1.06,0.15584691
17.06,0.0895,3.164,2.881,18.05,87.4,156.82,111.09,3.45,0.1751,2060,1.87,0.139420108
19,0.2008,2.369,1.894,2.06,46,262.49,219.87,2.84,0.2703,1330,0.881,0.146886909
17.16,0.1241,2.247,1.968,1.62,90.56,80.58,128.1,2.53,0.2927,1230,0.975,0.117477572
18.67,0.2174,2.624,2.054,4.07,149.32,200.03,43.42,3.19,0.2318,1550,1.05,0.150641413
17.95,0.1512,2.467,2.094,6.75,26.4,299.33,80.6,2.84,0.2543,1420,1.09,0.131732439
16.2,0.1061,3.421,3.058,10.63,9.5,69.85,204.49,3.78,0.1558,2310,2.09,0.132296639
16.28,0.2175,2.569,2.01,14.53,176.5,133.52,45.84,3.13,0.2394,1500,1.03,0.152449177
17.15,0.1621,2.795,2.342,8.23,262.35,57.49,61.12,3.25,0.2109,1710,1.34,0.145505937
15.12,0.0977,2.569,2.317,10.96,357.26,83.58,141.48,2.82,0.2394,1500,1.36,0.139454471
16.78,0.2079,3.148,2.494,17.63,113.3,306.77,344.55,3.8,0.1764,2040,1.55,0.132475202
17.96,0.1464,2.981,2.544,14.69,82.57,231.96,49.72,3.42,0.1915,1880,1.56,0.146187172
16.9,0.0847,3.185,2.916,11.27,80.36,268.07,159.46,3.46,0.1734,2080,1.94,0.122424838
18,0.1096,2.231,1.986,4.27,77.02,259.84,135.66,2.48,0.2958,1220,0.983,0.121236975
27.1,0.0209,1.038,1.016,3.05,134.77,155.28,338.91,1.06,0.9324,386,0.00497,0.148980581
17.25,0.0776,3.188,2.941,8.05,256.2,111.94,54.04,3.44,0.1732,2080,1.95,0.132217498
17.01,0.0976,2.683,2.421,27.51,111.75,80.62,104.62,2.94,0.2243,1610,1.56,0.141022635
15.38,0.0402,2.997,2.876,11.19,61.81,15.09,353.36,3.12,0.19,1890,1.89,0.143276411
14.87,0.054,3.165,2.994,22.75,98.36,145.45,153.87,3.34,0.175,2060,2,0.131320679
15.43,0.1501,3.032,2.577,9.92,76.85,153.79,322.26,3.49,0.1867,1930,1.57,0.127755645
18.7,0.0395,1.851,1.778,23.51,69.13,223.56,16.96,1.92,0.3915,920,0.78,0.145533366
16.72,0.2016,2.403,1.918,4.35,338.6,6.37,97.75,2.89,0.2647,1360,0.912,0.129003662
18.6,0.2778,2.547,1.839,12.82,220.79,147.67,137.51,3.25,0.2425,1480,0.854,0.137322881
16.54,0.1886,2.636,2.139,6.47,62.97,255.36,148.09,3.13,0.2303,1560,1.14,0.131945151
16.6,0.0893,3.162,2.88,16.53,151.77,254.04,273.26,3.44,0.1753,2050,1.94,0.133656142
17.95,0.165,2.807,2.344,8.02,23.71,223.41,7.09,3.27,0.2096,1720,1.34,0.156638033
18.1,0.3827,2.585,1.596,29.76,256.01,124.03,147.33,3.57,0.2371,1520,0.725,0.139521303
16.9,0.1795,3.129,2.567,8.67,163.8,240.23,103.35,3.69,0.1781,2020,1.59,0.145974095
18.79,0.237,2.877,2.195,14.85,139.43,280.47,9,3.56,0.202,1780,1.26,0.147949282
17.1,0.1957,3.071,2.47,5.02,307.37,80.53,43.05,3.67,0.1831,1970,1.48,0.160052837
16.6,0.2077,3.142,2.49,26.74,240.35,148.08,136.92,3.8,0.1769,2030,1.53,0.137040465
18.4,0.1382,2.173,1.872,3.4,330.93,310.09,285.07,2.47,0.3077,1170,0.859,0.147101052
19.2,0.2256,2.409,1.865,3.68,331.02,71.34,210.94,2.95,0.2637,1370,0.878,0.130225448
17.2,0.1372,2.305,1.989,6.24,330.2,122.89,180.86,2.62,0.2816,1280,1.01,0.134029225
16.59,0.0112,3.033,2.999,11,324.06,110.14,6.7,3.07,0.1866,1930,2.03,0.145622626
15.55,0.1229,3.076,2.698,11.43,102.69,300.46,313.78,3.45,0.1827,1970,1.73,0.13665427
17.1,0.0931,3.01,2.73,9.79,220.15,209.81,124.16,3.29,0.1888,1910,1.75,0.150113243
15.85,0.1692,2.851,2.368,6.83,298.64,128.55,133.08,3.33,0.2048,1760,1.39,0.124953437
16.82,0.1353,2.627,2.272,13.52,208.3,231.02,342.44,2.98,0.2315,1560,1.31,0.141359229
15.98,0.1247,3.1,2.714,12.55,224.8,241.42,5.9,3.49,0.1805,1990,1.76,0.151824647
19.5,0.1324,2.701,2.343,10.7,216.24,263,74.57,3.06,0.2221,1620,1.39,0.143293413
18.6,0.1568,2.453,2.068,6.95,66.91,316.82,111.22,2.84,0.2565,1400,1.08,0.140623371
17.43,0.1902,2.418,1.958,3.14,115.52,204.63,156.19,2.88,0.2621,1370,0.947,0.147990068
16.64,0.2067,3.079,2.443,16.3,199.18,151.11,316.83,3.72,0.1824,1970,1.45,0.125953368
16.6,0.0186,3.196,3.136,10.15,175.48,296.9,16.57,3.26,0.1725,2090,2.16,0.145597446
17.1,0.2038,3.041,2.422,2.14,87.28,189.46,148.06,3.66,0.1858,1940,1.41,0.132783714
13.72,0.0448,5.272,5.036,13.78,221.03,260.87,154.64,5.51,0.08142,4420,4.09,0.151427509
18.9,0.1977,2.344,1.88,1.39,152.71,226.53,127.69,2.81,0.2747,1310,0.883,0.126870981
16.2,0.1751,2.557,2.109,3.86,350.84,335.84,3.78,3,0.241,1490,1.1,0.141017884
7.59,0.2004,46.79,37.412,10.47,301.52,218.4,1.57,56.17,0.003079,117000,36.4,0.133200276
17.59,0.0815,2.892,2.656,2.22,24.58,336.45,270.77,3.13,0.2004,1800,1.65,0.149438153
17.5,0.2709,2.689,1.96,13.59,164.51,135.65,149.47,3.42,0.2236,1610,0.971,0.133312121
17.86,0.1218,2.447,2.149,6.99,164.85,201.45,21.97,2.74,0.2575,1400,1.15,0.135263591
15.04,0.1156,2.324,2.055,6.6,141.89,121.27,221.96,2.59,0.2782,1290,1.05,0.129022181
16.33,0.1371,3.06,2.64,15.98,60.28,333.13,173.14,3.48,0.1842,1950,1.66,0.133386566
16.48,0.261,3.056,2.259,17.21,215.05,261.38,173.19,3.85,0.1845,1950,1.35,0.128665278
16.9,0.2047,3.108,2.472,4.25,39.82,285.09,170.4,3.74,0.1799,2000,1.47,0.151723737
17.89,0.229,2.638,2.034,13.77,160.86,287.48,127.9,3.24,0.23,1570,1.1,0.140620224
18.5,0.1374,2.239,1.931,4.81,218.99,224.49,267.37,2.55,0.2943,1220,0.95,0.135337513
17.9,0.0738,2.341,2.168,5.19,14.43,172.5,318.27,2.51,0.2752,1310,1.17,0.147036077
16.48,0.2396,2.642,2.009,32.91,30.9,224.9,51.87,3.28,0.2295,1570,1.07,0.120289857
18.92,0.1823,2.404,1.966,2.42,99.59,304.61,118.52,2.84,0.2644,1360,0.977,0.117360608
17.96,0.228,2.32,1.791,1.2,36.48,3.27,76.69,2.85,0.279,1290,0.799,0.126506418
18.8,0.2638,2.607,1.919,14.23,151.15,177.92,359.12,3.29,0.2342,1540,0.909,0.133775062
15.38,0.2223,2.637,2.051,3.22,354.48,77.27,248.04,3.22,0.2301,1560,1.07,0.149175581
16.2,0.1539,3.1,2.623,9.19,2.7,185.16,336.29,3.58,0.1806,1990,1.62,0.125663249
17.96,0.2266,2.295,1.775,2.88,12.9,10.41,227.15,2.82,0.2834,1270,0.779,0.121824663
16.9,0.0786,3.178,2.928,8.73,195.85,201.49,44.21,3.43,0.174,2070,1.94,0.148280841
17.2,0.2044,3.121,2.483,4.2,138.75,241.68,130.97,3.76,0.1788,2010,1.49,0.14277021
17.41,0.2055,2.618,2.08,4.17,195.18,181.6,172.02,3.16,0.2327,1550,1.08,0.157008844
17.27,0.177,2.49,2.049,14.94,78.19,277.73,122.23,2.93,0.2509,1430,1.11,0.134316594
18.26,0.0681,2.541,2.368,2.58,257.8,267.57,77.15,2.71,0.2433,1480,1.38,0.140909176
16.45,0.0897,2.798,2.547,5.57,170.87,159.23,50.99,3.05,0.2106,1710,1.54,0.145189528
16.4,0.0806,3.133,2.88,10.87,146.41,213.29,80.47,3.39,0.1777,2030,1.88,0.141011032
17.11,0.0563,2.355,2.222,6.23,248.68,217.54,33.99,2.49,0.2728,1320,1.24,0.140946174
20,0.2777,2.337,1.688,6.58,219.38,47.8,242.55,2.99,0.2759,1300,0.682,0.14395761
17.6,0.2774,2.53,1.828,11.95,113.51,299.97,272.84,3.23,0.2449,1470,0.873,0.153273419
17.2,0.1608,2.566,2.153,18.06,94.3,220.57,137.42,2.98,0.2398,1500,1.17,0.138141275
18.88,0.2353,2.56,1.958,14.39,203.74,112.24,81.57,3.16,0.2406,1500,0.998,0.128753001
14.56,0.1171,5.231,4.618,16.53,210.83,136.53,301.27,5.84,0.08239,4370,3.64,0.148025244
17.7,0.224,2.621,2.034,4.41,103.82,293.17,219.04,3.21,0.2323,1550,1.05,0.140823269
20.16,0.262,2.552,1.883,4.5,214.36,179.49,13.29,3.22,0.2418,1490,0.89,0.134552412
16.5,0.1716,3.043,2.521,4.48,297.6,276.91,222.56,3.57,0.1857,1940,1.52,0.135163227
17.76,0.1265,2.291,2.001,6.02,210.09,13.1,21.43,2.58,0.2842,1270,0.994,0.132212923
15.7,0.1987,2.162,1.732,4.31,106.94,228.08,41.24,2.59,0.3101,1160,0.726,0.153705105
18.1,0.2179,3.042,2.379,12.54,153.62,231.6,65.18,3.7,0.1858,1940,1.4,0.137686062
16.91,0.2286,2.794,2.155,1.91,244.75,155.21,344.07,3.43,0.2111,1710,1.16,0.139833418
17.4,0.134,2.355,2.039,3.57,227.18,170.8,169.07,2.67,0.2727,1320,1.05,0.145253443
16.06,0.0796,3.131,2.882,10.13,4.47,172.21,325.92,3.38,0.1779,2020,1.89,0.132293148
16.03,0.2076,2.611,2.069,34.11,143.45,162.93,4.24,3.15,0.2337,1540,1.07,0.141477087
14.26,0.1181,5.23,4.613,6.7,354.94,108.1,285.55,5.85,0.0824,4370,3.64,0.152898177
15.06,0.1701,3.129,2.597,11.02,35.83,200.34,202.92,3.66,0.1781,2020,1.59,0.131407929
18.6,0.2343,2.38,1.823,12.98,78.85,230.53,75.89,2.94,0.2684,1340,1.25,0.148547972
17.02,0.0368,3.074,2.961,8.61,191.08,233.29,276.6,3.19,0.1829,1970,1.98,0.148222441
17.24,0.0961,2.744,2.481,6.43,87.51,200.66,127.44,3.01,0.2168,1660,1.47,0.141439055
18.56,0.0195,1.895,1.858,19.28,254.56,0.38,67.67,1.93,0.3777,953,0.845,0.148718497
17,0.2501,2.605,1.954,11.69,140.03,304.03,30.44,3.26,0.2344,1540,0.996,0.141238082
17,0.2078,3.077,2.437,9.42,338.8,333.06,113.32,3.72,0.1826,1970,1.43,0.143364093
18.2,0.1886,2.813,2.283,3.73,212.35,120.11,264.71,3.34,0.2089,1720,1.28,0.130099989
16.93,0.0948,2.659,2.407,13.13,163.08,350.87,169.79,2.91,0.2273,1580,1.42,0.145825589
20.2,0.3498,2.289,1.488,6.36,87.39,265.46,8.36,3.09,0.2845,1270,0.501,0.126327551
16.16,0.1545,2.326,1.967,8.66,43.07,2.57,2.85,2.69,0.2778,1300,0.977,0.128143985
17.8,0.1188,2.727,2.403,6.19,121.57,184.71,302.36,3.05,0.2188,1640,1.39,0.141829246
16.77,0.1128,2.402,2.131,7.61,120.98,264.02,112.76,2.67,0.2648,1360,1.15,0.13162275
17,0.1198,2.224,1.958,10.47,23.11,337.85,183.05,2.49,0.2971,1210,0.961,0.144218697
15.39,0.2492,3.177,2.386,18.47,115.23,190.85,95.66,3.97,0.174,2070,1.37,0.149971372
16.84,0.1957,2.479,1.994,2.59,127.13,170.22,103.74,2.96,0.2525,1430,0.979,0.128036742
16.72,0.1026,2.363,2.121,6.55,163.33,266.54,300.26,2.61,0.2713,1330,1.15,0.128811208
17.54,0.1047,2.592,2.321,5.7,182.02,152.84,301.59,2.86,0.2362,1520,1.31,0.131424184
16.46,0.1987,2.25,1.803,5.61,139.01,182.76,304.27,2.7,0.2919,1230,0.792,0.140880182
16.97,0.0642,3.082,2.884,3.63,245.32,0.64,94.89,3.28,0.1821,1980,1.87,0.146683658
17.3,0.1352,3.103,2.684,16.6,346.37,217.31,192.29,3.52,0.1803,2000,1.7,0.143615848
19.19,0.2901,2.527,1.794,3.16,140.01,195.78,260.69,3.26,0.2453,1470,1.25,0.122343018
17.94,0.1358,2.431,2.101,1.58,11.22,105.94,166.08,2.76,0.26,1380,1.12,0.123437497
17.21,0.0257,2.216,2.159,6.25,157.26,90.09,91.2,2.27,0.2987,1210,1.16,0.15247981
14.29,0.0793,3.018,2.779,10.13,314.61,73.93,67.64,3.26,0.1879,1920,1.8,0.138684042
14.9,0.1689,2.385,1.983,2.72,140.7,346.07,319.39,2.79,0.2675,1350,0.998,0.114588535
18.7,0.2303,2.228,1.715,2.82,296.74,22.88,217.31,2.74,0.2964,1210,0.703,0.135872302
18.87,0.1963,2.151,1.729,4.71,128.52,189.73,88.9,2.57,0.3125,1150,0.716,0.124417487
17.95,0.1294,2.684,2.337,13.93,117.71,104.74,61.01,3.03,0.2242,1610,1.37,0.129268731
18.75,0.0814,2.238,2.055,5.41,94.13,37.34,301.22,2.42,0.2945,1220,1.07,0.147442497
15.75,0.1879,2.627,2.133,10.55,97.43,31.07,93.23,3.12,0.2315,1560,1.16,0.131229553
18.1,0.2937,2.713,1.916,8.41,143.51,291.77,55.37,3.51,0.2206,1630,0.95,0.145075804
17.4,0.1018,2.985,2.681,10.45,349.67,6.77,147.68,3.29,0.1912,1880,1.68,0.146618116
16.32,0.0394,2.679,2.574,3.15,119.93,152.81,270.43,2.79,0.2247,1600,1.56,0.144100748
16.27,0.1066,2.613,2.334,5.94,51.92,128.68,247.58,2.89,0.2333,1540,1.34,0.145116736
18.5,0.1044,2.365,2.118,5.95,222.47,196.24,43.38,2.61,0.2709,1330,1.13,0.122667573
16.6,0.1627,2.748,2.301,11.27,283.26,251.49,338.44,3.19,0.2164,1660,1.34,0.138186318
17.41,0.0851,2.574,2.355,12.55,88.4,112.74,32.58,2.79,0.2386,1510,1.38,0.119490231
16.2,0.1924,2.706,2.185,14.09,70.86,46.97,167.82,3.23,0.2215,1630,1.23,0.133413846
18.5,0.1452,2.628,2.246,12.61,199.77,226.47,172.56,3.01,0.2314,1560,1.28,0.13034123
17.3,0.1982,2.627,2.106,14.41,138.71,68.23,256.6,3.15,0.2315,1560,1.15,0.156233565
17.7,0.2229,2.257,1.754,3.97,65.64,262.9,132.78,2.76,0.2907,1240,0.749,0.161637101
19.3,0.094,1.944,1.762,16.56,350.89,113.16,105.4,2.13,0.3635,990,0.828,0.151239954
17.62,0.0972,2.301,2.077,2.52,164.3,340.09,115.33,2.52,0.2824,1270,1.09,0.142682922
16.42,0.0364,3.492,3.365,6.68,36.94,189.07,146.79,3.62,0.1511,2380,2.36,0.11965248
16.49,0.0851,3.105,2.841,9.56,225.68,66.7,42.44,3.37,0.1801,2000,1.84,0.136518152
17.18,0.1669,3.087,2.572,17,176.48,192.05,295.59,3.6,0.1817,1980,1.57,0.131161274
17.93,0.2121,2.665,2.099,6.07,11.08,6.79,345.54,3.23,0.2266,1590,1.1,0.135324004
16.91,0.1744,2.691,2.222,11.22,6.82,274.25,339.32,3.16,0.2232,1610,1.24,0.127619665
17.49,0.0446,2.715,2.594,2.81,275.1,270.88,48.25,2.84,0.2203,1630,1.6,0.158976274
15.85,0.2209,2.738,2.133,12.27,274.7,135.55,52.5,3.34,0.2176,1650,1.16,0.14326551
17.6,0.2464,2.424,1.827,5.07,187.1,178.38,248.34,3.02,0.2611,1380,0.826,0.148318818
18.52,0.1798,2.257,1.851,2.16,216.91,49.42,47.29,2.66,0.2907,1240,0.837,0.12974678
16.77,0.0503,2.685,2.55,21.31,209.13,243.8,337.23,2.82,0.2241,1610,1.61,0.129505982
15.54,0.0666,3.074,2.869,1.34,171.27,127.22,188.75,3.28,0.1829,1970,1.85,0.141628171
17.4,0.1332,2.526,2.19,2,65.07,314.41,333.53,2.86,0.2455,1470,1.19,0.143269905
14.69,0.1108,5.107,4.541,6.15,203.5,268.87,292.23,5.67,0.0854,4220,3.56,0.147411681
16.51,0.1314,2.585,2.245,10.24,270.58,298.66,111.76,2.92,0.2372,1520,1.26,0.143192386
23.1,0.3532,1.508,0.975,4.58,191.04,24.1,16.08,2.04,0.5324,676,0.000527,0.119033164
6.2,0.3395,69.8,46.103,33.5,11.48,93.37,324.34,93.49,0.00169,213000,45.3,0.145077738
16.52,0.0956,2.45,2.216,6.02,3.61,254.41,230.16,2.68,0.257,1400,1.21,0.125247099
