H,e,a,q,i,om,w,ma,ad,n,per,moid,albedo
17.36,0.0754,2.405,2.224,6.83,18.95,214.98,202.3,2.59,0.2642,1360,1.22,0.124398325
18.21,0.1627,2.542,2.128,8.77,47.83,179.68,121.68,2.96,0.2432,1480,1.12,0.141973308
18.2,0.1556,2.549,2.152,3.92,343.24,272.98,32.59,2.95,0.2422,1490,1.14,0.148005023
17.9,0.2078,2.788,2.209,8.26,236.35,150.99,194.15,3.37,0.2117,1700,1.22,0.153825104
15.29,0.1092,2.396,2.134,7.3,81.92,179.37,151.4,2.66,0.2657,1350,1.12,0.135183135
17.32,0.1928,3.109,2.509,2.33,262.18,102.15,7.39,3.71,0.1798,2000,1.51,0.144415483
17.12,0.1447,2.383,2.038,4.93,312.01,327.76,74.89,2.73,0.2679,1340,1.02,0.141853157
16.4,0.0484,2.681,2.551,13.39,65.21,97.3,121.98,2.81,0.2245,1600,1.6,0.143709388
18.8,0.152,2.325,1.972,5.87,229.23,97.94,54.82,2.68,0.278,1300,1.25,0.153153631
17.72,0.1655,3.119,2.603,1.34,51.68,20.44,19.92,3.64,0.1789,2010,1.62,0.124402048
16.4,0.1175,3.025,2.67,9.05,350.47,74.16,284.65,3.38,0.1873,1920,1.7,0.148387553
16.71,0.2131,2.592,2.04,12.38,292.06,303,73.48,3.14,0.2362,1520,1.06,0.146765386
17.32,0.1764,2.439,2.009,2.31,66.38,355.37,321.15,2.87,0.2587,1390,1.02,0.161183518
17.3,0.2607,3.152,2.33,14.92,34.45,18.49,162.88,3.97,0.1761,2040,1.35,0.146391115
17.38,0.1132,3.219,2.854,14.57,215.87,136.71,58.77,3.58,0.1707,2110,1.87,0.150490829
17.73,0.1209,3.143,2.763,8.85,226.31,139.56,3.22,3.52,0.1769,2040,1.77,0.12840161
17.32,0.0668,1.891,1.765,23.31,52.94,50.96,1.24,2.02,0.3791,950,0.81,0.136457266
17.1,0.1823,3.188,2.607,26.64,171.72,241.47,250.05,3.77,0.1732,2080,1.71,0.1579771
16.7,0.2485,3.087,2.32,16.97,69.85,266.98,295.21,3.85,0.1817,1980,1.39,0.110267943
17.3,0.1639,2.678,2.239,12.38,239.11,216.75,119.16,3.12,0.2248,1600,1.27,0.138531593
16.18,0.0323,3.153,3.052,8.29,247.57,230.34,205.64,3.26,0.176,2050,2.08,0.144393666
18.8,0.1414,2.316,1.988,6.23,212.01,147.64,47.22,2.64,0.2796,1290,0.989,0.121810127
16.62,0.079,2.42,2.229,7.11,17.1,62.01,118.15,2.61,0.2618,1370,1.25,0.14234695
18.5,0.1939,2.424,1.954,1.55,285.87,80.66,80.08,2.89,0.2612,1380,0.954,0.137793065
17.1,0.1303,2.402,2.089,7.57,113.2,173.04,42.93,2.72,0.2648,1360,1.07,0.124710058
15.59,0.1426,3.123,2.678,8.76,270.6,106,260.72,3.57,0.1786,2020,1.7,0.140872786
18.62,0.1037,2.366,2.12,7.81,115.03,18.11,138.97,2.61,0.2708,1330,1.14,0.132353506
17.41,0.103,2.44,2.189,3.97,151.97,51.68,249,2.69,0.2585,1390,1.19,0.13117906
18.35,0.1875,2.337,1.898,4.41,277.76,98.96,8.75,2.77,0.276,1300,0.906,0.144170732
17.28,0.2204,3.092,2.41,12.38,107.34,241.93,332.87,3.77,0.1813,1990,1.43,0.127972451
18.4,0.1505,2.226,1.891,3.62,282.58,90.68,300.13,2.56,0.2967,1210,0.896,0.136348036
17.4,0.1771,2.803,2.307,7.46,186.01,73.77,132.62,3.3,0.21,1710,1.31,0.145434854
16.71,0.0538,3.021,2.859,9.01,19.14,5.39,341.58,3.18,0.1877,1920,1.86,0.133085183
16.4,0.0705,2.915,2.709,8.44,312.42,323.52,296.34,3.12,0.1981,1820,1.7,0.152250815
17.2,0.0168,2.691,2.646,5.35,32.18,331.96,159.26,2.74,0.2233,1610,1.65,0.127844056
19.1,0.2543,2.095,1.562,4.62,107.5,204.36,10.44,2.63,0.3251,1110,0.55,0.139985389
