pha,H,G,diameter,albedo,rot_per,BV,UB,spec_B,spec_T,e,a,q,i,om,w,ma,ad,n,per,per.y,moid,class,data_arc,condition_code
0,12.86,,,,,,,7,153,0.0451,3.013,2.877,1.12,204.0,70.18,73.3,3.15,0.1885,1910.0,5.23,1.86,8,16814.0,0
0,12.83,,,,3.392,,,7,153,0.0728,2.858,2.65,3.09,72.93,317.03,187.86,3.07,0.204,1770.0,4.83,1.66,8,24555.0,0
0,13.34,,,,2.7401,,,7,153,0.2348,2.255,1.726,4.06,349.07,22.72,70.21,2.78,0.2911,1240.0,3.39,0.727,8,37286.0,0
0,10.89,,,,12.41,,,7,153,0.118,3.95,3.484,2.8,161.51,138.99,246.9,4.42,0.1255,2870.0,7.85,2.47,10,24338.0,0
0,13.47,,,,2.988,,,4,153,0.1411,2.196,1.886,4.46,128.73,170.88,319.34,2.51,0.3029,1190.0,3.25,0.871,8,24327.0,0
0,12.72,,,,,,,7,153,0.1475,2.911,2.481,1.34,206.5,148.18,163.15,3.34,0.1985,1810.0,4.97,1.48,8,24095.0,0
0,13.18,,,,89.5,,,7,153,0.1936,2.445,1.971,9.67,79.07,167.24,103.69,2.92,0.2578,1400.0,3.82,0.96,8,29785.0,0
0,12.99,,,,22.9,,,3,153,0.0901,2.397,2.181,6.66,4.43,191.87,259.52,2.61,0.2656,1360.0,3.71,1.18,8,29438.0,0
0,11.6,,,,5.4914,,,7,153,0.1641,3.189,2.666,17.19,87.81,353.09,90.54,3.71,0.1731,2080.0,5.7,1.68,8,17006.0,0
0,11.55,,,,48.32,,,7,153,0.0886,3.029,2.761,9.94,321.04,116.71,296.58,3.3,0.1869,1930.0,5.27,1.79,8,26165.0,0
0,13.04,,,,7.89975,,,7,153,0.1194,2.609,2.298,1.48,228.04,157.38,162.2,2.92,0.2339,1540.0,4.21,1.3,8,17383.0,0
0,13.64,,,,5.5,,,4,153,0.0564,2.193,2.069,6.03,49.42,170.87,47.58,2.32,0.3035,1190.0,3.25,1.06,8,25446.0,0
0,13.41,,,,150.5,,,7,153,0.1599,2.19,1.839,4.52,8.28,334.86,287.02,2.54,0.3042,1180.0,3.24,0.834,8,16531.0,0
0,13.39,,,,15.732,,,7,153,0.1316,2.424,2.105,3.12,144.43,34.88,210.4,2.74,0.2612,1380.0,3.77,1.11,8,17421.0,0
0,13.75,,,,6.7199,,,7,153,0.0369,2.162,2.082,0.82,169.87,333.78,125.52,2.24,0.3101,1160.0,3.18,1.09,8,30530.0,0
0,12.94,,,,9.0,,,7,153,0.2049,2.244,1.784,6.1,134.14,144.71,272.86,2.7,0.2931,1230.0,3.36,0.773,8,30510.0,0
0,12.63,,,,,,,7,153,0.1138,2.719,2.409,1.11,290.66,266.31,70.33,3.03,0.2199,1640.0,4.48,1.41,8,24562.0,0
0,14.69,,,,8.994,0.909,0.527,4,2,0.3323,2.302,1.537,6.74,315.54,44.0,94.04,3.07,0.2822,1280.0,3.49,0.542,9,32192.0,0
0,13.67,,,,2.44967,,,62,153,0.2322,2.228,1.711,5.71,275.11,91.24,214.34,2.75,0.2964,1210.0,3.33,0.722,8,25684.0,0
0,12.88,,,,6.025,,,7,153,0.1733,2.242,1.854,6.69,108.09,180.87,260.03,2.63,0.2936,1230.0,3.36,0.838,8,22657.0,0
0,13.25,,,,3.38,,,7,153,0.2068,2.326,1.845,3.37,312.57,71.96,7.8,2.81,0.2779,1300.0,3.55,0.852,8,33603.0,0
0,11.91,,,,,,,7,153,0.0686,2.875,2.678,1.33,336.76,349.88,327.96,3.07,0.2022,1780.0,4.88,1.67,8,32299.0,0
0,12.29,,,,12.582,,,7,153,0.1819,3.122,2.554,2.33,80.63,233.85,244.8,3.69,0.1787,2010.0,5.52,1.54,8,32270.0,0
0,12.13,,,,14.31,,,7,153,0.1776,3.109,2.557,1.95,41.27,12.88,263.98,3.66,0.1798,2000.0,5.48,1.57,8,33596.0,0
0,14.07,,,,,,,7,153,0.1942,2.237,1.803,2.87,349.08,44.54,199.65,2.67,0.2945,1220.0,3.35,0.81,8,29849.0,0
0,12.18,,,,2.773,,,7,153,0.0473,2.865,2.729,3.17,69.05,241.15,244.51,3.0,0.2033,1770.0,4.85,1.72,8,22686.0,0
0,12.16,,,,4.3832,,,7,153,0.1696,2.531,2.102,17.03,150.46,189.23,47.61,2.96,0.2448,1470.0,4.03,1.09,8,31149.0,0
0,13.93,,,,9.747,,,7,153,0.2276,2.419,1.868,2.49,358.31,321.83,125.85,2.97,0.262,1370.0,3.76,0.857,8,16871.0,0
0,15.03,,,,,,,7,153,0.2646,2.593,1.907,30.11,322.41,212.79,3.19,3.28,0.2361,1520.0,4.18,0.954,8,16667.0,0
0,12.43,,,,5.855,,,7,153,0.1215,3.194,2.806,0.82,168.12,302.25,240.1,3.58,0.1727,2080.0,5.71,1.82,8,30294.0,0
0,14.11,,,,10.33,,,7,153,0.1038,1.931,1.731,23.52,180.82,247.46,94.61,2.13,0.3672,980.0,2.68,0.809,7,15002.0,0
0,12.71,,,,2.737485,,,7,153,0.2102,2.325,1.836,4.93,10.57,313.96,181.92,2.81,0.2781,1290.0,3.54,0.83,8,38016.0,0
0,13.99,,,,5.3248,,,7,153,0.2095,2.278,1.801,4.99,226.17,70.59,222.4,2.76,0.2866,1260.0,3.44,0.794,8,16789.0,0
0,14.12,,,,7.56,,,7,153,0.1892,2.224,1.804,1.31,239.94,85.31,326.85,2.65,0.2971,1210.0,3.32,0.793,8,17913.0,0
0,13.6,,,,4.496,,,7,153,0.075,2.261,2.091,7.28,75.31,122.04,333.92,2.43,0.29,1240.0,3.4,1.1,8,25172.0,0
